406,type_b,common,a_63,F,1,F,N
410,type_b,myshop_orders_detail_new,c_1,T,1,C,N
411,type_b,myshop_orders_detail_new,c_2,T,2,C,N
412,type_b,myshop_orders_detail_new,c_3,T,3,C,N
403,type_b,coupon_select_new,c_1,T,1,C,N
404,type_b,coupon_select_new,c_2,T,2,C,N
405,type_b,coupon_select_new,c_3,T,3,C,N
392,type_b,myshop_address_list,c_1,T,1,C,N
393,type_b,myshop_address_list,c_2,T,2,C,N
394,type_b,myshop_address_list,c_3,T,3,C,N
395,type_b,dlv_addr,c_3,T,1,C,N
840,type_b,gift_bg_sel,c_1,T,1,C,N
841,type_b,gift_file,c_1,T,1,C,N
414,type_b,under14_purchase,c_1,T,1,C,N
413,type_b,common,a_bookmark,T,7,R,N
420,type_b,product_basket_popup,c_3,T,1,C,N
402,type_b,home,main_prod_add,T,10,C,N
41,type_b,address,c_1,T,1,C,N
42,type_b,address,c_2,T,2,C,N
43,type_b,address,c_3,T,3,C,N
44,type_b,basket,c_1,T,1,C,N
45,type_b,basket,c_2,T,2,C,N
46,type_b,basket,c_3,T,3,C,N
47,type_b,basket_login,c_1,T,1,C,N
48,type_b,basket_login,c_2,T,2,C,N
49,type_b,basket_login,c_3,T,3,C,N
50,type_b,board_del_comme,c_1,T,1,C,N
51,type_b,board_list,c_1,T,1,C,N
52,type_b,board_list,c_2,T,2,C,N
53,type_b,board_list,c_3,T,3,C,N
54,type_b,board_read,c_1,T,1,C,N
55,type_b,board_read,c_2,T,2,C,N
56,type_b,board_read,c_3,T,3,C,N
57,type_b,board_secret,c_1,T,1,C,N
58,type_b,board_secret,c_2,T,2,C,N
59,type_b,board_secret,c_3,T,3,C,N
60,type_b,board_write,c_1,T,1,C,N
61,type_b,board_write,c_2,T,2,C,N
62,type_b,board_write,c_3,T,3,C,N
63,type_b,category,c_1,T,1,C,N
64,type_b,category,c_2,T,2,C,N
65,type_b,category,c_3,T,3,C,N
66,type_b,category,c_4,W,4,C,N
67,type_b,category,c_5,W,5,C,N
68,type_b,category,c_6,T,6,C,N
206,type_b,category,c_7,T,7,C,N
69,type_b,category,prod_dis1,H,1,C,N
70,type_b,category,prod_dis1_b,H,1,C,N
72,type_b,category,prod_dis2_b_img,H,2,C,N
71,type_b,category,prod_dis2_img,H,2,C,N
73,type_b,category,prod_dis3_img,H,3,C,N
74,type_b,category,prod_dis4_img,H,3,C,N
1,type_b,common,a_1,T,0,F,N
10,type_b,common,a_10,T,5,L,N
11,type_b,common,a_11,T,6,R,N
12,type_b,common,a_12,T,7,L,B
13,type_b,common,a_13,T,8,R,N
14,type_b,common,a_14,T,9,R,N
15,type_b,common,a_15,T,10,L,N
16,type_b,common,a_16,T,0,N,N
17,type_b,common,a_17,T,0,N,N
18,type_b,common,a_18,T,0,N,N
19,type_b,common,a_19,T,0,N,N
2,type_b,common,a_2,T,1,L,N
20,type_b,common,a_20,T,0,N,N
21,type_b,common,a_21,T,11,R,N
22,type_b,common,a_22,T,12,R,N
23,type_b,common,a_23,T,13,R,N
24,type_b,common,a_24,T,14,R,N
25,type_b,common,a_25,T,15,R,N
26,type_b,common,a_26,T,16,R,N
27,type_b,common,a_27,T,17,L,N
28,type_b,common,a_28,T,18,R,N
29,type_b,common,a_29,T,19,L,N
3,type_b,common,a_3,T,2,L,T
30,type_b,common,a_30,T,20,L,N
32,type_b,common,a_32,T,22,L,N
33,type_b,common,a_33,T,0,L,N
34,type_b,common,a_34,T,23,F,N
35,type_b,common,a_35,F,25,L,N
188,type_b,common,a_36,T,26,L,N
189,type_b,common,a_37,T,27,L,N
190,type_b,common,a_38,T,1,L,N
203,type_b,common,a_39,T,1,F,N
4,type_b,common,a_4,T,3,L,N
217,type_b,common,a_40,F,24,L,N
5,type_b,common,a_5,T,4,R,B
6,type_b,common,a_6,T,0,F,T
7,type_b,common,a_7,T,0,F,B
8,type_b,common,a_8,T,0,B,N
84,type_b,com_intro,c_1,T,1,C,N
85,type_b,com_intro,c_2,T,2,C,N
86,type_b,com_intro,c_3,T,3,C,N
87,type_b,del_comment,c_1,T,1,C,N
88,type_b,del_comment,c_2,T,2,C,N
89,type_b,del_comment,c_3,T,3,C,N
90,type_b,faq,c_1,T,1,C,N
91,type_b,faq,c_2,T,2,C,N
92,type_b,faq,c_3,T,3,C,N
81,type_b,gonggu,c_1,T,1,C,N
82,type_b,gonggu,c_2,T,2,C,N
83,type_b,gonggu,c_3,T,3,C,N
197,type_b,gonggu,prod_dis1,H,0,C,N
198,type_b,gonggu,prod_dis1_b,H,0,C,N
200,type_b,gonggu,prod_dis2_b_img,H,0,C,N
199,type_b,gonggu,prod_dis2_img,H,0,C,N
201,type_b,gonggu,prod_dis3_img,H,0,C,N
202,type_b,gonggu,prod_dis4_img,H,0,C,N
36,type_b,home,c_1,W,1,C,N
37,type_b,home,c_2,T,4,C,N
38,type_b,home,c_3,T,3,C,N
39,type_b,home,c_4,W,2,C,N
204,type_b,home,c_6,F,5,C,N
205,type_b,home,c_7,F,6,C,N
207,type_b,home,prod_dis1,H,0,C,N
208,type_b,home,prod_dis1_b,H,0,C,N
210,type_b,home,prod_dis2_b_img,H,0,C,N
209,type_b,home,prod_dis2_img,H,0,C,N
211,type_b,home,prod_dis3_img,H,0,C,N
212,type_b,home,prod_dis4_img,H,0,C,N
93,type_b,id_check,c_1,T,1,C,N
94,type_b,image_zoom,c_1,T,1,C,N
95,type_b,intro,common_1,T,1,C,N
96,type_b,intro,common_2,T,1,C,N
97,type_b,intro,common_3,T,1,C,N
175,type_b,login,c_1,T,1,C,N
176,type_b,login,c_2,T,2,C,N
177,type_b,login,c_3,T,3,C,N
98,type_b,login_id,c_1,T,1,C,N
99,type_b,login_id,c_2,T,2,C,N
100,type_b,login_id,c_3,T,3,C,N
101,type_b,login_id,c_4,T,4,C,N
178,type_b,lost_id,c_1,T,1,C,N
179,type_b,lost_id,c_2,T,2,C,N
180,type_b,lost_id,c_3,T,3,C,N
102,type_b,lost_pw,c_1,T,1,C,N
103,type_b,lost_pw,c_2,T,2,C,N
104,type_b,lost_pw,c_3,T,3,C,N
105,type_b,lost_pw_hint,c_1,T,1,C,N
106,type_b,lost_pw_hint,c_2,T,2,C,N
107,type_b,lost_pw_hint,c_3,T,3,C,N
108,type_b,member_agree,c_1,T,1,C,N
110,type_b,member_agree,c_2,T,2,C,N
111,type_b,member_agree,c_3,T,3,C,N
112,type_b,member_regist,c_1,T,1,C,N
113,type_b,member_regist,c_2,T,2,C,N
114,type_b,member_regist,c_3,T,3,C,N
185,type_b,member_register_result,c_1,T,1,C,N
186,type_b,member_register_result,c_2,T,2,C,N
187,type_b,member_register_result,c_3,T,3,C,N
