21,D,1,http://img0001.echosting.cafe24.com/front/type_b/image/common/b_up.gif,F,"","",F,T,19,10,T,http://img0001.echosting.cafe24.com/front/type_b/image/common/b_up.gif
22,D,2,http://img0001.echosting.cafe24.com/front/type_b/image/common/b_down.gif,F,"","",F,T,19,10,T,http://img0001.echosting.cafe24.com/front/type_b/image/common/b_down.gif
23,A,9,http://img.echosting.cafe24.com/design/common/icon_sett01.gif,F,"","",F,T,16,16,T,http://img.echosting.cafe24.com/design/common/icon_sett01.gif
24,A,10,http://img.echosting.cafe24.com/design/common/icon_sett02.gif,F,"","",F,T,16,16,T,http://img.echosting.cafe24.com/design/common/icon_sett02.gif
25,A,11,http://img.echosting.cafe24.com/design/common/icon_sett04.gif,F,"","",F,T,16,16,T,http://img.echosting.cafe24.com/design/common/icon_sett04.gif
26,A,12,http://img.echosting.cafe24.com/design/common/icon_sett03.gif,F,"","",F,T,16,16,T,http://img.echosting.cafe24.com/design/common/icon_sett03.gif
27,A,13,http://img.echosting.cafe24.com/design/common/icon_sett07.gif,F,"","",F,T,16,16,T,http://img.echosting.cafe24.com/design/common/icon_sett07.gif
28,A,14,http://img.cafe24.com/images/ec_hosting/front/btn_sp_basket_002.gif,F,"","",F,T,,,T,http://img.cafe24.com/images/ec_hosting/front/btn_sp_basket_002.gif
29,A,15,http://img.cafe24.com/img1/front/common/btn_optionview.gif,F,"","",F,T,,,T,http://img.cafe24.com/img1/front/common/btn_optionview.gif
30,C,9,http://img0001.echosting.cafe24.com/front/type_b/image/common/card_sk.gif,F,"","",F,T,,,T,http://img0001.echosting.cafe24.com/front/type_b/image/common/card_sk.gif
31,C,10,http://img0001.echosting.cafe24.com/front/type_b/image/common/card_nh.gif,F,"","",F,T,,,T,http://img0001.echosting.cafe24.com/front/type_b/image/common/card_nh.gif
41,F,2,http://img.echosting.cafe24.com/design/skin/mono/h1_logo_footer.gif,F,"",하단 로고,T,F,,,T,http://img.echosting.cafe24.com/design/skin/mono/h1_logo_footer.gif
35,A,19,http://img.cafe24.com/images/ec_admin/addservice/npoint/bi_03.gif,F,"","",F,T,13,13,T,http://img.cafe24.com/images/ec_admin/addservice/npoint/bi_03.gif
12,C,5,http://img.echosting.cafe24.com/design/common/card_lg.gif,F,"","",F,T,,,T,http://img.echosting.cafe24.com/design/common/card_lg.gif
13,C,6,http://img.echosting.cafe24.com/design/common/card_bc.gif,F,"","",F,T,,,T,http://img.echosting.cafe24.com/design/common/card_bc.gif
19,C,7,http://img.echosting.cafe24.com/design/common/card_hy.gif,F,"","",F,T,,,T,http://img.echosting.cafe24.com/design/common/card_hy.gif
20,C,8,http://img.echosting.cafe24.com/design/common/card_lt.gif,F,"","",F,T,,,T,http://img.echosting.cafe24.com/design/common/card_lt.gif
36,E,1,http://img.echosting.cafe24.com/design/common/ico_attendStart.png,F,"","",T,F,,,T,http://img.echosting.cafe24.com/design/common/ico_attendStart.png
37,E,2,http://img.echosting.cafe24.com/design/common/ico_attendEnd.png,F,"","",T,F,,,T,http://img.echosting.cafe24.com/design/common/ico_attendEnd.png
38,E,3,http://img.echosting.cafe24.com/design/common/ico_attendOn.png,F,"","",T,F,,,T,http://img.echosting.cafe24.com/design/common/ico_attendOn.png
